"imd2015"
7052
6891
16108
14070
3936
1360
615
419
3936
3936
9722
821
36909
6891
16108
16108
16108
107
9722
9722
9722
9722
155
155
155
155
155
155
155
155
155
155
155
155
155
155
7052
6407
6407
356
356
356
6583
6583
821
24772
7052
7052
7052
7052
7052
8374
8374
732
732
16108
419
419
419
818
5767
5767
5767
5767
5767
5767
5767
5767
5767
5767
5767
5767
5767
5767
35374
35374
548
548
771
771
8312
8312
8312
7390
7390
7390
7390
13110
13110
13110
13110
13110
13110
13110
5058
5058
5058
5058
5058
5058
5058
5058
1456
1456
1456
1456
1456
1456
1456
1456
194
194
194
194
194
194
194
194
548
548
548
548
7568
7568
7568
7568
7568
7568
7568
7568
7568
7568
7568
7568
7568
7568
7568
7568
36909
36909
36909
36909
36909
5162
5162
8374
12411
12411
12411
1103
29146
29146
821
821
821
821
10372
10351
10351
10351
9722
9722
9331
9331
9331
5058
5058
5058
8277
8277
8277
8277
888
368
20061
2351
2351
2351
16108
16108
20061
771
1136
1136
20061
3051
77
77
77
77
14070
14070
14070
14070
14070
14070
14070
1726
6891
6891
6891
6891
6891
6891
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
3936
16108
5773
5773
5773
5773
5773
3936
3936
3936
3936
3936
3936
3936
1726
1726
1726
1726
1726
94
94
94
94
94
1482
1482
1482
1482
1482
1482
890
890
890
890
615
615
615
615
615
615
615
615
615
615
615
8277
8277
8277
8277
8277
16108
12411
20061
20061
20061
20061
1456
1360
1360
5767
9722
5767
8312
194
5162
33228
2206
8277
77
615
1360
12411
282
890
94
12411
890
3936
615
818
821
615
3051
869
890
869
8374
818
3936
16108
12411
107
3936
821
16108
3936
2351
615
615
615
615
3936
368
3936
155
8277
33228
419
869
282
3936
1726
548
7390
12411
3051
3936
3936
1136
890
3936
3936
20061
3936
1482
13110
615
3051
94
7390
20061
615
24772
615
1726
5773
615
7390
6407
16108
107
3936
732
368
615
615
615
368
6407
3936
8277
1726
869
3936
3936
10351
615
7390
3936
24772
3936
7390
861
10372
3051
20061
890
890
615
35374
615
3936
615
3936
3936
771
615
615
615
818
1360
94
615
419
282
890
1726
1726
615
615
1726
548
6891
732
3936
615
3051
14070
13110
3936
7568
16108
548
6583
6583
36909
