286952.666666667 4587713.66666667
283486 4593180.33333333
278952.666666667 4589447
283086 4593580.33333333
281886 4595180.33333333
280952.666666667 4593713.66666667
281619.333333333 4595980.33333333
279486 4593180.33333333
290552.666666667 4601980.33333333
283886 4598113.66666667
286419.333333333 4601580.33333333
291219.333333333 4603180.33333333
290686 4603047
292019.333333333 4603447
292552.666666667 4601713.66666667
292552.666666667 4601180.33333333
298152.666666667 4607180.33333333
297619.333333333 4602113.66666667
297752.666666667 4600780.33333333
298952.666666667 4599713.66666667
297086 4587713.66666667
300419.333333333 4605047
301352.666666667 4603447
301752.666666667 4603447
301886 4602780.33333333
302152.666666667 4602247
300686 4596113.66666667
305886 4587713.66666667
298019.333333333 4587713.66666667
307486 4601313.66666667
307086 4593180.33333333
308552.666666667 4602647
313219.333333333 4597580.33333333
313486 4596380.33333333
314286 4597447
311219.333333333 4590913.66666667
313086 4587713.66666667
309886 4588113.66666667
318419.333333333 4596647
318419.333333333 4597980.33333333
318286 4601713.66666667
318419.333333333 4601180.33333333
317886 4602380.33333333
318419.333333333 4602513.66666667
313619.333333333 4604780.33333333
311086 4601713.66666667
306686 4608513.66666667
305486 4609980.33333333
308152.666666667 4610513.66666667
306152.666666667 4608647
310152.666666667 4610780.33333333
311486 4609713.66666667
312552.666666667 4611180.33333333
315752.666666667 4610913.66666667
318419.333333333 4610913.66666667
318419.333333333 4611580.33333333
316019.333333333 4611847
318152.666666667 4615847
306552.666666667 4612513.66666667
310152.666666667 4616513.66666667
313486 4619580.33333333
318419.333333333 4626380.33333333
305086 4614380.33333333
303619.333333333 4611847
311886 4621847
311486 4622380.33333333
316552.666666667 4627447
303086 4619180.33333333
302152.666666667 4620380.33333333
302686 4615047
302419.333333333 4610913.66666667
300819.333333333 4615047
301752.666666667 4612647
299352.666666667 4627447
297219.333333333 4613313.66666667
287886 4621713.66666667
287619.333333333 4623447
292152.666666667 4627447
286286 4624113.66666667
284419.333333333 4626113.66666667
283752.666666667 4625980.33333333
292552.666666667 4606513.66666667
283086 4610513.66666667
303752.666666667 4607313.66666667
302419.333333333 4606513.66666667
303086 4607713.66666667
301886 4605980.33333333
301752.666666667 4608780.33333333
293619.3 4615714
