2 3
1 2
2 4
4 5
4 6
5 6
6 8
5 7
2 9
9 10
9 15
15 16
9 12
14 15
11 13
15 18
19 21
19 20
19 18
18 22
12 13
18 26
23 25
24 25
23 24
25 26
22 23
27 29
27 28
26 27
26 30
30 31
30 32
30 33
34 36
36 37
36 38
34 39
33 34
34 35
33 35
35 41
35 40
41 42
41 43
43 44
45 46
32 33
43 45
47 50
85 86
84 50
84 85
85 87
87 88
24 87
22 87
48 50
47 49
48 49
49 51
51 52
51 53
53 57
53 59
53 54
54 57
54 55
56 57
57 58
48 59
59 60
60 61
60 62
59 63
63 66
65 66
66 67
66 68
68 69
68 70
63 70
63 64
70 71
70 72
72 73
72 74
72 75
75 89
89 81
76 89
76 77
76 79
77 79
77 78
79 80
75 82
82 83
13 82
14 17
45 47
12 14
32 84
17 88
73 88
71 88
64 88
48 88
