FID;field_1;field_2;x;y
88;280210,535185363027267;4590662,317971919663250;280211,0000000;4590660,0000000
89;301791,327436499996111;4605215,204008240252733;301791,0000000;4605220,0000000
90;292171,826589685981162;4602964,258312799967825;292172,0000000;4602960,0000000
91;289889,049161511997227;4619504,354149539954960;289889,0000000;4619500,0000000
92;301093,931650992017239;4613342,176959100179374;301094,0000000;4613340,0000000
93;303724,918368516024202;4621967,879594950005412;303725,0000000;4621970,0000000
94;312385,917353814002126;4605530,489514119923115;312386,0000000;4605530,0000000
95;279829,810497579979710;4590422,782415200024843;279830,0000000;4590420,0000000
96;305422,219108582008630;4614827,840423160232604;305422,0000000;4614830,0000000
97;310000,685974283027463;4616432,855865069665015;310001,0000000;4616430,0000000
98;304084,798638337990269;4614978,182405720464885;304085,0000000;4614980,0000000
99;305771,480320609989576;4615450,175705360248685;305771,0000000;4615450,0000000
100;305501,516854110988788;4615039,900101440027356;305502,0000000;4615040,0000000
101;307156,734315050009172;4613263,819177160039544;307157,0000000;4613260,0000000
102;308252,103202011028770;4602941,483689240179956;308252,0000000;4602940,0000000
103;288809,045464663009625;4624614,092912870459259;288809,0000000;4624610,0000000
104;291470,820426216989290;4617166,039776209741831;291471,0000000;4617170,0000000
105;289898,023160926008131;4602441,945843040011823;289898,0000000;4602440,0000000
106;292291,202147151983809;4605753,314895720221102;292291,0000000;4605750,0000000
107;305777,812798235972878;4613890,320997189730406;305778,0000000;4613890,0000000
108;308759,826311458018608;4611189,449148939922452;308760,0000000;4611190,0000000
109;309954,969185383000877;4611441,395495720207691;309955,0000000;4611440,0000000
110;310696,677216693991795;4611505,178050049580634;310697,0000000;4611500,0000000
111;313245,480538806004915;4611476,797935909591615;313245,0000000;4611480,0000000
112;314583,825993432023097;4612104,348461260087788;314584,0000000;4612100,0000000
113;292058,109262004029006;4616501,760780289769173;292058,0000000;4616500,0000000
114;310671,078557338973042;4599307,620923030190170;310671,0000000;4599310,0000000
115;311299,454217172984499;4598673,884283600375056;311299,0000000;4598670,0000000
116;298159,167404522013385;4590176,283009779639542;298159,0000000;4590180,0000000
117;297826,500433466979302;4593053,812044450081885;297826,0000000;4593050,0000000
118;298665,588446983019821;4594177,787702900357544;298666,0000000;4594180,0000000
119;300412,384390400024131;4595775,908379809930921;300412,0000000;4595780,0000000
120;300862,778524802008178;4596454,067498370073736;300863,0000000;4596450,0000000
121;301165,366899424989242;4597331,294534170068800;301165,0000000;4597330,0000000
